Full Name,Gender,Enrollment Status,Program of Study / Major,Enrollment Date,Graduation Date,County,University Enrolled
Daniel Otieno,Male,Enrolled,Computer Science,2021-01-25,2024-01-25,Machakos,Egerton University
Esther Achieng,Female,Enrolled,Law,2018-11-11,2023-11-10,Machakos,JKUAT
Elizabeth Mwangi,Female,Withdrawn,Computer Science,2018-09-27,,Mombasa,Egerton University
Luke Nyambura,Male,Withdrawn,Business Administration,2019-10-14,,Kisumu,Moi University
Joseph Otieno,Male,Withdrawn,Nursing,2019-01-24,,Mombasa,Moi University
Grace Odhiambo,Female,Withdrawn,Mechanical Engineering,2018-12-04,,Nairobi,Egerton University
Alice Kariuki,Female,Enrolled,Nursing,2019-04-20,2021-04-19,Meru,Kenyatta University
Jane Nyambura,Female,Not Enrolled,Education,2019-12-28,,Nakuru,University of Nairobi
Grace Odhiambo,Female,Not Enrolled,Education,2018-01-08,,Nakuru,Moi University
Wangari Kariuki,Female,Enrolled,Business Administration,2019-01-02,2021-01-01,Mombasa,JKUAT
Elizabeth Njeri,Female,Withdrawn,Nursing,2023-06-17,,Kiambu,Moi University
Samuel Kariuki,Male,Not Enrolled,Computer Science,2020-08-25,,Mombasa,JKUAT
David Kariuki,Male,Enrolled,Mechanical Engineering,2023-02-01,2025-01-31,Meru,Kenyatta University
Sarah Mwangi,Female,Enrolled,Nursing,2022-10-13,2028-10-11,Nakuru,Moi University
Esther Karanja,Female,Enrolled,Business Administration,2020-02-25,2025-02-23,Kisumu,Egerton University
John Wambui,Male,Enrolled,Business Administration,2022-10-31,2025-10-30,Nairobi,Kenyatta University
Jane Otieno,Female,Not Enrolled,Nursing,2021-10-24,,Nairobi,Egerton University
Michael Wambui,Male,Enrolled,Nursing,2021-05-01,2022-05-01,Nakuru,Kenyatta University
Michael Karanja,Male,Not Enrolled,Nursing,2020-10-15,,Nairobi,Egerton University
Peter Mwangi,Male,Withdrawn,Business Administration,2024-01-26,,Machakos,JKUAT
Grace Nyambura,Female,Not Enrolled,Business Administration,2020-07-05,,Kiambu,JKUAT
Richard Karanja,Male,Withdrawn,Nursing,2024-05-08,,Meru,Moi University
Mary Achieng,Female,Withdrawn,Psychology,2023-10-22,,Nairobi,Kenyatta University
Sarah Mwangi,Female,Withdrawn,Mechanical Engineering,2022-09-28,,Mombasa,Egerton University
Lucy Mwangi,Female,Not Enrolled,Psychology,2021-07-13,,Kisumu,Egerton University
James Otieno,Male,Withdrawn,Psychology,2020-02-06,,Nyeri,Kenyatta University
Lucy Njeri,Female,Enrolled,Nursing,2020-10-10,2023-10-10,Mombasa,Kenyatta University
Alice Odhiambo,Female,Withdrawn,Nursing,2018-08-25,,Nyeri,University of Nairobi
Alice Njeri,Female,Enrolled,Psychology,2018-04-21,2023-04-20,Machakos,University of Nairobi
Michael Wambui,Male,Not Enrolled,Law,2021-06-26,,Kiambu,Kenyatta University
John Odhiambo,Male,Not Enrolled,Nursing,2024-04-27,,Mombasa,Moi University
John Njeri,Male,Withdrawn,Mechanical Engineering,2020-02-08,,Mombasa,Egerton University
Emily Mwangi,Female,Not Enrolled,Business Administration,2022-07-03,,Nyeri,Moi University
Michael Otieno,Male,Withdrawn,Mechanical Engineering,2018-11-28,,Kiambu,JKUAT
Grace Nyambura,Female,Enrolled,Law,2019-02-26,2021-02-25,Nairobi,University of Nairobi
Jane Kariuki,Female,Withdrawn,Nursing,2021-05-21,,Kisumu,Moi University
Joseph Nyambura,Male,Not Enrolled,Law,2020-07-16,,Nyeri,Egerton University
John Mwangi,Male,Withdrawn,Computer Science,2023-08-16,,Nyeri,University of Nairobi
Alice Mwangi,Female,Withdrawn,Mechanical Engineering,2021-12-14,,Nairobi,University of Nairobi
Peter Mwangi,Male,Enrolled,Psychology,2020-08-23,2021-08-23,Nyeri,University of Nairobi
Alice Karanja,Female,Not Enrolled,Mechanical Engineering,2023-03-16,,Kiambu,Moi University
Mary Odhiambo,Female,Not Enrolled,Business Administration,2018-06-18,,Kiambu,University of Nairobi
Michael Otieno,Male,Enrolled,Nursing,2023-07-06,2024-07-05,Nakuru,Moi University
Esther Nyambura,Female,Enrolled,Psychology,2022-10-29,2025-10-28,Nyeri,University of Nairobi
Lucy Kariuki,Female,Withdrawn,Law,2021-11-29,,Nakuru,Kenyatta University
Mary Kariuki,Female,Enrolled,Business Administration,2023-08-27,2026-08-26,Nairobi,Egerton University
David Karanja,Male,Enrolled,Nursing,2020-03-01,2023-03-01,Kiambu,Egerton University
Emily Karanja,Female,Withdrawn,Law,2023-10-05,,Nairobi,Moi University
Mary Otieno,Female,Enrolled,Psychology,2023-09-24,2025-09-23,Meru,University of Nairobi
Emily Odhiambo,Female,Not Enrolled,Mechanical Engineering,2021-05-20,,Nyeri,JKUAT
Jane Odhiambo,Female,Not Enrolled,Nursing,2024-09-03,,Kiambu,JKUAT
Joseph Achieng,Male,Enrolled,Law,2021-07-07,2022-07-07,Nakuru,University of Nairobi
Wangari Mwangi,Female,Enrolled,Education,2023-02-06,2028-02-05,Meru,Moi University
Alice Otieno,Female,Not Enrolled,Computer Science,2023-07-25,,Nakuru,University of Nairobi
Grace Karanja,Female,Enrolled,Mechanical Engineering,2018-12-21,2020-12-20,Mombasa,Kenyatta University
Elizabeth Achieng,Female,Withdrawn,Computer Science,2024-11-13,,Nairobi,Egerton University
Luke Njeri,Male,Enrolled,Mechanical Engineering,2023-03-15,2027-03-14,Meru,University of Nairobi
Samuel Odhiambo,Male,Not Enrolled,Psychology,2020-09-10,,Kisumu,University of Nairobi
Emily Kariuki,Female,Withdrawn,Computer Science,2022-04-21,,Kisumu,Kenyatta University
Peter Wambui,Male,Withdrawn,Nursing,2020-05-27,,Nakuru,Moi University
James Nyambura,Male,Enrolled,Law,2019-02-24,2023-02-23,Machakos,Kenyatta University
Lucy Karanja,Female,Enrolled,Education,2023-01-03,2024-01-03,Mombasa,Egerton University
Joseph Odhiambo,Male,Withdrawn,Computer Science,2023-07-11,,Kisumu,Egerton University
James Mwangi,Male,Not Enrolled,Law,2018-02-28,,Meru,Moi University
Lucy Otieno,Female,Withdrawn,Law,2022-10-14,,Kiambu,Kenyatta University
Luke Njeri,Male,Not Enrolled,Psychology,2024-06-20,,Mombasa,Egerton University
John Kariuki,Male,Enrolled,Law,2018-08-07,2021-08-06,Meru,Moi University
Luke Otieno,Male,Withdrawn,Law,2019-04-14,,Machakos,Kenyatta University
Elizabeth Wambui,Female,Enrolled,Law,2022-04-22,2026-04-21,Machakos,Moi University
Peter Karanja,Male,Not Enrolled,Mechanical Engineering,2024-02-09,,Nairobi,Moi University
Samuel Nyambura,Male,Enrolled,Mechanical Engineering,2023-03-25,2025-03-24,Kiambu,Moi University
David Nyambura,Male,Withdrawn,Law,2020-03-19,,Nairobi,University of Nairobi
Grace Nyambura,Female,Withdrawn,Computer Science,2024-01-17,,Mombasa,Kenyatta University
Alice Achieng,Female,Not Enrolled,Education,2022-12-21,,Nyeri,JKUAT
Lucy Odhiambo,Female,Not Enrolled,Law,2019-04-09,,Nakuru,University of Nairobi
Peter Kariuki,Male,Withdrawn,Computer Science,2021-12-28,,Nakuru,Kenyatta University
Esther Njeri,Female,Not Enrolled,Mechanical Engineering,2023-11-18,,Nairobi,JKUAT
Esther Otieno,Female,Withdrawn,Nursing,2022-03-12,,Kiambu,JKUAT
Peter Odhiambo,Male,Not Enrolled,Mechanical Engineering,2019-10-14,,Kisumu,Egerton University
Samuel Odhiambo,Male,Withdrawn,Law,2018-08-30,,Nakuru,JKUAT
Peter Kariuki,Male,Enrolled,Psychology,2018-07-30,2022-07-29,Kiambu,Egerton University
Elizabeth Njeri,Female,Not Enrolled,Computer Science,2024-10-28,,Kisumu,JKUAT
Sarah Nyambura,Female,Withdrawn,Business Administration,2023-02-26,,Kiambu,Egerton University
Daniel Otieno,Male,Enrolled,Computer Science,2018-03-06,2023-03-05,Nyeri,University of Nairobi
Richard Mwangi,Male,Withdrawn,Psychology,2024-07-29,,Mombasa,Egerton University
Wangari Otieno,Female,Enrolled,Psychology,2020-07-11,2026-07-10,Mombasa,University of Nairobi
Grace Odhiambo,Female,Enrolled,Computer Science,2019-02-10,2020-02-10,Nairobi,Kenyatta University
John Otieno,Male,Withdrawn,Law,2019-12-11,,Machakos,Egerton University
Daniel Achieng,Male,Not Enrolled,Mechanical Engineering,2021-12-16,,Nyeri,Moi University
Sarah Wambui,Female,Withdrawn,Computer Science,2022-10-23,,Meru,Kenyatta University
Lucy Karanja,Female,Not Enrolled,Psychology,2022-04-12,,Meru,Moi University
Grace Kariuki,Female,Withdrawn,Computer Science,2023-06-27,,Meru,JKUAT
Wangari Otieno,Female,Withdrawn,Psychology,2019-12-21,,Kiambu,Moi University
Mary Otieno,Female,Not Enrolled,Nursing,2022-04-08,,Mombasa,JKUAT
Emily Mwangi,Female,Enrolled,Mechanical Engineering,2023-02-15,2029-02-13,Kiambu,Egerton University
Alice Odhiambo,Female,Enrolled,Computer Science,2021-05-12,2024-05-11,Machakos,JKUAT
Wangari Mwangi,Female,Enrolled,Education,2021-01-11,2022-01-11,Nairobi,University of Nairobi
Peter Nyambura,Male,Not Enrolled,Law,2020-01-11,,Mombasa,JKUAT
Sarah Karanja,Female,Enrolled,Education,2020-09-01,2023-09-01,Kiambu,University of Nairobi
Elizabeth Karanja,Female,Withdrawn,Computer Science,2021-04-09,,Kiambu,University of Nairobi
Sarah Achieng,Female,Enrolled,Psychology,2023-03-09,2024-03-08,Nyeri,Moi University
James Njeri,Male,Enrolled,Psychology,2024-05-13,2026-05-13,Meru,Egerton University
Wangari Karanja,Female,Enrolled,Nursing,2024-07-19,2030-07-18,Nyeri,Egerton University
Esther Nyambura,Female,Withdrawn,Psychology,2021-05-05,,Nairobi,Kenyatta University
David Karanja,Male,Not Enrolled,Psychology,2019-02-26,,Kiambu,Moi University
Mary Njeri,Female,Withdrawn,Education,2020-05-30,,Mombasa,Kenyatta University
Joseph Achieng,Male,Withdrawn,Law,2019-03-23,,Nyeri,Moi University
Elizabeth Achieng,Female,Withdrawn,Psychology,2023-11-29,,Kisumu,University of Nairobi
James Karanja,Male,Not Enrolled,Nursing,2018-07-05,,Nyeri,Moi University
Michael Otieno,Male,Not Enrolled,Business Administration,2023-05-04,,Nakuru,Egerton University
Richard Mwangi,Male,Enrolled,Law,2019-08-26,2023-08-25,Nyeri,University of Nairobi
John Kariuki,Male,Not Enrolled,Computer Science,2022-01-16,,Nairobi,Kenyatta University
James Mwangi,Male,Not Enrolled,Computer Science,2018-01-02,,Nyeri,Moi University
Samuel Nyambura,Male,Enrolled,Psychology,2022-05-14,2026-05-13,Machakos,Egerton University
Joseph Mwangi,Male,Withdrawn,Education,2021-07-22,,Kisumu,JKUAT
David Njeri,Male,Withdrawn,Mechanical Engineering,2018-11-17,,Kiambu,JKUAT
Alice Otieno,Female,Enrolled,Education,2020-05-13,2022-05-13,Mombasa,Kenyatta University
Sarah Njeri,Female,Withdrawn,Education,2022-04-22,,Kisumu,JKUAT
Jane Achieng,Female,Not Enrolled,Law,2020-01-13,,Meru,Kenyatta University
Sarah Nyambura,Female,Enrolled,Education,2022-02-03,2025-02-02,Kiambu,University of Nairobi
Mary Karanja,Female,Withdrawn,Business Administration,2021-07-14,,Nakuru,Moi University
Lucy Wambui,Female,Not Enrolled,Mechanical Engineering,2022-03-20,,Mombasa,University of Nairobi
Peter Njeri,Male,Enrolled,Business Administration,2021-11-26,2024-11-25,Mombasa,JKUAT
Luke Wambui,Male,Withdrawn,Law,2024-01-19,,Meru,JKUAT
David Odhiambo,Male,Not Enrolled,Computer Science,2022-01-22,,Nairobi,Moi University
Luke Kariuki,Male,Not Enrolled,Business Administration,2020-09-17,,Machakos,Moi University
Sarah Odhiambo,Female,Not Enrolled,Business Administration,2022-09-14,,Meru,Egerton University
Luke Wambui,Male,Enrolled,Law,2022-01-12,2025-01-11,Nairobi,University of Nairobi
Esther Achieng,Female,Not Enrolled,Law,2022-10-14,,Mombasa,Kenyatta University
Luke Njeri,Male,Withdrawn,Computer Science,2020-03-14,,Kiambu,Egerton University
John Mwangi,Male,Enrolled,Mechanical Engineering,2023-05-07,2028-05-05,Nairobi,Moi University
Samuel Njeri,Male,Not Enrolled,Business Administration,2023-12-25,,Kiambu,University of Nairobi
Elizabeth Odhiambo,Female,Enrolled,Education,2021-03-30,2024-03-29,Nairobi,Kenyatta University
Jane Odhiambo,Female,Enrolled,Psychology,2018-06-01,2021-05-31,Machakos,University of Nairobi
James Mwangi,Male,Not Enrolled,Mechanical Engineering,2020-10-24,,Nyeri,Kenyatta University
Samuel Wambui,Male,Not Enrolled,Law,2024-12-01,,Nakuru,University of Nairobi
Richard Karanja,Male,Not Enrolled,Mechanical Engineering,2020-04-25,,Nyeri,Kenyatta University
Wangari Nyambura,Female,Not Enrolled,Nursing,2023-09-28,,Nakuru,Moi University
Richard Odhiambo,Male,Withdrawn,Computer Science,2020-02-06,,Kiambu,JKUAT
Emily Otieno,Female,Enrolled,Business Administration,2024-02-17,2025-02-16,Kisumu,Moi University
Mary Kariuki,Female,Withdrawn,Mechanical Engineering,2023-06-17,,Kisumu,Egerton University
Mary Nyambura,Female,Withdrawn,Education,2023-07-07,,Machakos,Moi University
Alice Njeri,Female,Enrolled,Mechanical Engineering,2024-04-06,2026-04-06,Meru,Kenyatta University
Michael Njeri,Male,Enrolled,Law,2020-02-27,2022-02-26,Machakos,JKUAT
Jane Achieng,Female,Not Enrolled,Psychology,2020-05-13,,Nairobi,Moi University
Peter Otieno,Male,Withdrawn,Mechanical Engineering,2020-06-19,,Nyeri,University of Nairobi
Daniel Odhiambo,Male,Withdrawn,Psychology,2020-10-22,,Mombasa,JKUAT
Elizabeth Wambui,Female,Enrolled,Nursing,2024-11-28,2029-11-27,Nakuru,Kenyatta University
Emily Njeri,Female,Not Enrolled,Mechanical Engineering,2023-03-23,,Machakos,Kenyatta University
Sarah Wambui,Female,Enrolled,Law,2022-10-27,2026-10-26,Machakos,Moi University
Jane Nyambura,Female,Withdrawn,Law,2018-04-07,,Nakuru,Kenyatta University
Richard Wambui,Male,Enrolled,Mechanical Engineering,2018-09-29,2023-09-28,Kiambu,JKUAT
Richard Karanja,Male,Withdrawn,Computer Science,2024-02-10,,Meru,Kenyatta University
Daniel Otieno,Male,Not Enrolled,Computer Science,2021-05-05,,Nyeri,Egerton University
David Nyambura,Male,Not Enrolled,Nursing,2023-11-25,,Mombasa,University of Nairobi
Wangari Kariuki,Female,Enrolled,Business Administration,2021-12-23,2022-12-23,Nyeri,Egerton University
Wangari Odhiambo,Female,Not Enrolled,Business Administration,2023-02-07,,Nakuru,Moi University
Wangari Wambui,Female,Not Enrolled,Law,2021-11-20,,Meru,Egerton University
David Achieng,Male,Withdrawn,Nursing,2023-01-11,,Meru,Egerton University
Alice Achieng,Female,Withdrawn,Law,2018-02-15,,Nyeri,University of Nairobi
Peter Otieno,Male,Enrolled,Education,2024-12-20,2027-12-20,Kisumu,Kenyatta University
Peter Karanja,Male,Withdrawn,Psychology,2022-02-06,,Kiambu,Egerton University
Wangari Karanja,Female,Enrolled,Mechanical Engineering,2021-06-07,2024-06-06,Kisumu,Kenyatta University
Michael Mwangi,Male,Withdrawn,Psychology,2019-09-05,,Kisumu,Kenyatta University
Lucy Otieno,Female,Not Enrolled,Business Administration,2021-10-27,,Nyeri,Egerton University
Grace Mwangi,Female,Enrolled,Nursing,2021-07-12,2023-07-12,Nyeri,JKUAT
Emily Njeri,Female,Enrolled,Education,2019-03-19,2023-03-18,Nairobi,Egerton University
Luke Odhiambo,Male,Enrolled,Mechanical Engineering,2018-12-26,2020-12-25,Kiambu,JKUAT
Emily Mwangi,Female,Not Enrolled,Business Administration,2018-07-28,,Meru,JKUAT
Michael Nyambura,Male,Enrolled,Business Administration,2024-10-15,2028-10-14,Meru,Kenyatta University
Grace Odhiambo,Female,Withdrawn,Mechanical Engineering,2019-03-24,,Meru,University of Nairobi
Mary Otieno,Female,Withdrawn,Computer Science,2019-07-18,,Machakos,JKUAT
Richard Kariuki,Male,Enrolled,Education,2020-12-26,2024-12-25,Nakuru,Kenyatta University
Wangari Karanja,Female,Not Enrolled,Law,2019-12-12,,Kisumu,Kenyatta University
Emily Achieng,Female,Not Enrolled,Mechanical Engineering,2022-12-13,,Mombasa,Moi University
Michael Kariuki,Male,Enrolled,Mechanical Engineering,2024-09-09,2026-09-09,Kisumu,Moi University
Michael Wambui,Male,Withdrawn,Mechanical Engineering,2021-08-26,,Nairobi,Moi University
Joseph Mwangi,Male,Not Enrolled,Education,2020-09-24,,Nyeri,JKUAT
John Nyambura,Male,Not Enrolled,Nursing,2020-10-08,,Meru,Moi University
Alice Achieng,Female,Not Enrolled,Mechanical Engineering,2019-06-01,,Machakos,Kenyatta University
Samuel Achieng,Male,Not Enrolled,Nursing,2018-05-04,,Nakuru,Moi University
Sarah Otieno,Female,Enrolled,Education,2020-06-17,2023-06-17,Kisumu,Egerton University
Sarah Wambui,Female,Withdrawn,Business Administration,2021-03-02,,Meru,Egerton University
Jane Kariuki,Female,Enrolled,Computer Science,2023-03-06,2028-03-04,Nakuru,Moi University
James Achieng,Male,Enrolled,Psychology,2024-11-10,2029-11-09,Nakuru,Egerton University
Emily Njeri,Female,Withdrawn,Law,2020-11-29,,Machakos,University of Nairobi
Mary Kariuki,Female,Withdrawn,Law,2019-11-22,,Machakos,Moi University
Alice Karanja,Female,Withdrawn,Mechanical Engineering,2018-11-25,,Nakuru,Egerton University
Lucy Wambui,Female,Enrolled,Business Administration,2024-07-25,2029-07-24,Meru,Egerton University
Richard Karanja,Male,Enrolled,Business Administration,2024-06-05,2029-06-04,Nakuru,Kenyatta University
Emily Otieno,Female,Enrolled,Law,2022-06-23,2026-06-22,Kiambu,JKUAT
Esther Mwangi,Female,Enrolled,Mechanical Engineering,2020-12-29,2025-12-28,Nakuru,Egerton University
Samuel Karanja,Male,Withdrawn,Computer Science,2020-11-09,,Machakos,Egerton University
Esther Karanja,Female,Withdrawn,Law,2018-01-05,,Nairobi,University of Nairobi
Grace Kariuki,Female,Not Enrolled,Business Administration,2020-08-03,,Kisumu,Moi University
Grace Mwangi,Female,Enrolled,Education,2020-11-04,2022-11-04,Machakos,Egerton University
David Mwangi,Male,Withdrawn,Law,2019-06-13,,Nairobi,Moi University
Mary Mwangi,Female,Not Enrolled,Law,2019-05-24,,Mombasa,University of Nairobi
Grace Odhiambo,Female,Not Enrolled,Psychology,2020-02-21,,Kisumu,Moi University
Alice Kariuki,Female,Not Enrolled,Law,2020-03-27,,Machakos,Kenyatta University
Wangari Otieno,Female,Withdrawn,Nursing,2023-11-19,,Nyeri,JKUAT
Joseph Otieno,Male,Withdrawn,Psychology,2018-07-30,,Kisumu,University of Nairobi
Joseph Mwangi,Male,Not Enrolled,Psychology,2023-08-30,,Meru,Moi University
Joseph Mwangi,Male,Withdrawn,Computer Science,2022-08-16,,Machakos,Egerton University
Richard Wambui,Male,Enrolled,Computer Science,2022-06-22,2023-06-22,Kiambu,JKUAT
Samuel Kariuki,Male,Enrolled,Law,2018-08-05,2024-08-03,Nairobi,Moi University
Emily Odhiambo,Female,Not Enrolled,Computer Science,2024-05-09,,Nyeri,JKUAT
Elizabeth Wambui,Female,Enrolled,Education,2024-01-15,2027-01-14,Kisumu,Egerton University
Michael Wambui,Male,Enrolled,Psychology,2022-05-12,2024-05-11,Nyeri,JKUAT
Alice Karanja,Female,Withdrawn,Nursing,2020-08-30,,Nyeri,Moi University
Sarah Wambui,Female,Enrolled,Education,2021-09-04,2023-09-04,Nyeri,Kenyatta University
Emily Wambui,Female,Not Enrolled,Education,2023-05-16,,Meru,Egerton University
Wangari Mwangi,Female,Not Enrolled,Computer Science,2019-03-26,,Nakuru,Kenyatta University
Esther Nyambura,Female,Not Enrolled,Law,2022-06-02,,Kiambu,Kenyatta University
Samuel Otieno,Male,Not Enrolled,Psychology,2018-11-04,,Kisumu,Kenyatta University
Sarah Nyambura,Female,Withdrawn,Law,2021-09-23,,Mombasa,Kenyatta University
Lucy Wambui,Female,Withdrawn,Mechanical Engineering,2018-11-04,,Meru,JKUAT
Alice Nyambura,Female,Enrolled,Business Administration,2018-10-08,2019-10-08,Kiambu,Kenyatta University
David Otieno,Male,Not Enrolled,Psychology,2023-03-16,,Meru,Egerton University
Sarah Odhiambo,Female,Not Enrolled,Mechanical Engineering,2022-04-07,,Meru,Egerton University
Wangari Mwangi,Female,Withdrawn,Mechanical Engineering,2019-02-23,,Nakuru,University of Nairobi
Samuel Odhiambo,Male,Withdrawn,Education,2019-01-06,,Machakos,Egerton University
Luke Mwangi,Male,Withdrawn,Business Administration,2024-06-07,,Nairobi,Egerton University
Lucy Otieno,Female,Withdrawn,Education,2023-04-13,,Nakuru,University of Nairobi
Luke Wambui,Male,Not Enrolled,Psychology,2018-11-12,,Mombasa,Moi University
Daniel Njeri,Male,Withdrawn,Computer Science,2024-07-17,,Nyeri,Kenyatta University
Mary Wambui,Female,Not Enrolled,Education,2019-10-18,,Kisumu,Egerton University
Sarah Wambui,Female,Not Enrolled,Education,2022-11-09,,Machakos,Moi University
Samuel Odhiambo,Male,Withdrawn,Education,2024-10-10,,Nakuru,Moi University
Elizabeth Mwangi,Female,Withdrawn,Psychology,2021-06-04,,Kiambu,Kenyatta University
Grace Mwangi,Female,Not Enrolled,Computer Science,2022-12-07,,Meru,University of Nairobi
Alice Wambui,Female,Enrolled,Business Administration,2019-09-20,2024-09-18,Meru,Moi University
