Full Name,ID No,Gender,Enrollment Date,Program of Study,Course Code,Semester,Grade,GPA,Cumulative GPA,Course Status,Academic Standing
Grace Achieng,S45197331,Female,2021-03-21,Nursing,CS101,Fall 2024,C+,2.34,2.3,Withdrawn,Good Standing
Esther Mwangi,S19457818,Female,2023-03-13,Law,CS101,Summer 2024,F,2.17,2.23,Failed,Suspended
Daniel Achieng,S25361017,Male,2018-04-23,Business Administration,MATH250,Summer 2024,A,3.42,2.83,Completed,Good Standing
Daniel Achieng,S99202039,Male,2019-10-04,Education,LAW102,Summer 2024,D,2.83,2.83,Completed,Good Standing
Alice Karanja,S46316250,Female,2023-12-30,Mechanical Engineering,LAW102,Fall 2024,C+,2.48,2.66,Failed,Probation
Jane Wambui,S21736864,Female,2022-08-09,Computer Science,BIO150,Fall 2023,A,2.08,2.37,Completed,Good Standing
Grace Njeri,S67931013,Female,2022-09-08,Computer Science,ENGR301,Spring 2024,C,3.31,2.84,Withdrawn,Suspended
James Nyambura,S69318035,Male,2020-12-06,Computer Science,ENGR301,Summer 2024,A,3.51,3.17,Withdrawn,Suspended
Peter Mwangi,S17735536,Male,2022-08-31,Mechanical Engineering,ECON150,Fall 2023,C,2.81,2.99,Completed,Good Standing
Esther Achieng,S38243830,Female,2024-11-29,Education,ENGR301,Summer 2024,D+,3.34,3.17,Failed,Suspended
John Karanja,S52550421,Male,2022-05-13,Psychology,PSY201,Fall 2023,D,3.88,3.52,Completed,Suspended
Richard Odhiambo,S13611957,Male,2024-01-04,Nursing,PSY201,Spring 2024,B,2.35,2.94,Withdrawn,Probation
Mary Odhiambo,S74438021,Female,2022-07-28,Computer Science,ECON150,Fall 2024,D+,3.28,3.11,Failed,Good Standing
Grace Odhiambo,S81856200,Female,2019-01-07,Nursing,LAW102,Spring 2024,D,2.43,2.77,Withdrawn,Probation
James Achieng,S10364750,Male,2019-03-30,Computer Science,LAW102,Summer 2024,B+,1.91,2.34,Completed,Probation
Mary Kariuki,S24248240,Female,2022-06-02,Law,ECON150,Fall 2023,B+,3.07,2.71,Withdrawn,Probation
Michael Karanja,S18827254,Male,2021-11-09,Nursing,ECON150,Summer 2024,B,1.83,2.27,Withdrawn,Good Standing
James Njeri,S99575911,Male,2018-06-17,Psychology,CS101,Fall 2024,A,1.05,1.66,Completed,Good Standing
Joseph Mwangi,S94045397,Male,2024-07-06,Business Administration,LAW102,Fall 2023,D+,3.91,2.79,Withdrawn,Suspended
Jane Achieng,S27143918,Female,2023-12-09,Education,CS101,Fall 2024,A,3.49,3.14,Failed,Suspended
James Odhiambo,S46824589,Male,2020-02-13,Mechanical Engineering,ENGR301,Spring 2024,C,1.5,2.32,Withdrawn,Suspended
Wangari Achieng,S38949422,Female,2024-12-02,Computer Science,ECON150,Fall 2023,A,2.21,2.26,Completed,Probation
James Nyambura,S10298354,Male,2018-06-24,Psychology,ENGR301,Summer 2024,D,1.11,1.69,Completed,Good Standing
Jane Njeri,S90734343,Female,2024-08-11,Computer Science,PSY201,Fall 2024,D+,3.77,2.73,Failed,Suspended
James Wambui,S35289679,Male,2021-07-26,Education,ENGR301,Summer 2024,C,1.43,2.08,Withdrawn,Good Standing
Emily Mwangi,S79928109,Female,2020-06-27,Mechanical Engineering,ENGR301,Spring 2024,D+,1.42,1.75,Failed,Probation
Mary Karanja,S68569738,Female,2024-07-18,Psychology,LAW102,Fall 2023,B+,3.29,2.52,Completed,Probation
Richard Achieng,S59769543,Male,2018-03-02,Law,CS101,Fall 2023,B,3.58,3.05,Completed,Good Standing
Alice Achieng,S68924406,Female,2019-05-07,Law,MATH250,Spring 2024,A,1.12,2.08,Completed,Suspended
Wangari Nyambura,S66342355,Female,2022-06-20,Business Administration,BIO150,Spring 2024,C,1.37,1.73,Failed,Probation
Michael Wambui,S48044022,Male,2020-11-26,Mechanical Engineering,LAW102,Fall 2024,D+,3.53,2.63,Withdrawn,Probation
Peter Wambui,S33915739,Male,2023-12-31,Business Administration,LAW102,Fall 2023,C,3.2,2.92,Completed,Probation
Daniel Njeri,S89927040,Male,2021-10-04,Computer Science,CS101,Spring 2024,D+,1.37,2.15,Withdrawn,Good Standing
Alice Odhiambo,S77411235,Female,2021-09-12,Nursing,CS101,Fall 2023,F,1.47,1.81,Withdrawn,Probation
John Odhiambo,S26071016,Male,2024-03-09,Computer Science,BIO150,Spring 2024,C+,3.16,2.49,Withdrawn,Suspended
Sarah Njeri,S67872906,Female,2018-07-28,Psychology,CS101,Spring 2024,A,1.68,2.08,Completed,Suspended
Grace Njeri,S68718566,Female,2019-07-20,Law,LAW102,Spring 2024,B,1.65,1.86,Withdrawn,Probation
Alice Otieno,S80079230,Female,2018-09-24,Education,MATH250,Spring 2024,B+,1.06,1.46,Withdrawn,Probation
Peter Kariuki,S87866451,Male,2019-10-21,Psychology,ECON150,Spring 2024,A,3.96,2.71,Completed,Probation
Samuel Achieng,S80957088,Male,2019-07-23,Mechanical Engineering,LAW102,Fall 2023,C+,1.93,2.32,Failed,Probation
Mary Otieno,S69340636,Female,2024-07-16,Computer Science,ENGR301,Fall 2023,F,2.38,2.35,Failed,Good Standing
Alice Otieno,S32307170,Female,2024-08-07,Mechanical Engineering,PSY201,Fall 2023,D+,3.4,2.88,Withdrawn,Suspended
Joseph Kariuki,S41851297,Male,2023-03-21,Nursing,ENGR301,Fall 2023,C+,2.08,2.48,Withdrawn,Probation
Mary Nyambura,S64166898,Female,2024-07-24,Nursing,LAW102,Summer 2024,C+,1.72,2.1,Completed,Suspended
Emily Achieng,S48736721,Female,2022-03-31,Law,ECON150,Summer 2024,D+,2.22,2.16,Withdrawn,Probation
Grace Wambui,S62973047,Female,2018-06-19,Nursing,PSY201,Fall 2023,A,2.19,2.17,Withdrawn,Good Standing
John Wambui,S37958262,Male,2022-10-06,Business Administration,LAW102,Summer 2024,A,1.44,1.8,Completed,Suspended
Samuel Achieng,S84738731,Male,2018-08-15,Computer Science,PSY201,Spring 2024,D,2.38,2.09,Withdrawn,Good Standing
Michael Kariuki,S31526845,Male,2018-04-25,Business Administration,BIO150,Fall 2023,D,2.93,2.51,Failed,Good Standing
Michael Mwangi,S80126496,Male,2021-03-27,Computer Science,BIO150,Summer 2024,B,3.75,3.13,Completed,Probation
John Wambui,S28636379,Male,2019-11-19,Education,BIO150,Spring 2024,C,3.45,3.29,Withdrawn,Probation
David Wambui,S67411608,Male,2023-09-29,Computer Science,BIO150,Summer 2024,A,2.2,2.75,Withdrawn,Good Standing
Daniel Njeri,S91588304,Male,2024-05-07,Nursing,CS101,Spring 2024,B+,2.54,2.65,Withdrawn,Good Standing
Emily Achieng,S50638284,Female,2021-04-21,Mechanical Engineering,MATH250,Spring 2024,D+,3.05,2.85,Withdrawn,Good Standing
Mary Wambui,S62610066,Female,2019-05-18,Nursing,PSY201,Spring 2024,B,2.38,2.62,Completed,Suspended
Lucy Kariuki,S47009509,Female,2020-01-09,Psychology,BIO150,Spring 2024,A,2.68,2.65,Failed,Suspended
Wangari Wambui,S14422623,Female,2021-12-31,Law,ECON150,Spring 2024,F,3.04,2.84,Completed,Good Standing
Luke Karanja,S75971894,Male,2024-01-21,Business Administration,MATH250,Spring 2024,A,3.05,2.94,Completed,Suspended
Alice Achieng,S45488262,Female,2024-04-14,Business Administration,ECON150,Fall 2023,F,2.02,2.48,Completed,Suspended
Elizabeth Wambui,S46796768,Female,2022-04-13,Psychology,MATH250,Fall 2024,D,1.65,2.06,Withdrawn,Suspended
Emily Karanja,S97319581,Female,2018-06-13,Psychology,ECON150,Summer 2024,D+,2.11,2.08,Withdrawn,Suspended
Peter Njeri,S54140524,Male,2024-10-26,Business Administration,PSY201,Spring 2024,F,3.74,2.91,Failed,Suspended
Emily Wambui,S81721501,Female,2024-10-14,Mechanical Engineering,ENGR301,Spring 2024,B,3.48,3.2,Failed,Good Standing
David Nyambura,S16795894,Male,2023-10-10,Nursing,CS101,Fall 2024,B+,3.12,3.16,Withdrawn,Suspended
James Odhiambo,S74422819,Male,2018-10-09,Business Administration,PSY201,Fall 2023,F,2.72,2.94,Failed,Suspended
Joseph Nyambura,S42722839,Male,2019-10-21,Education,ECON150,Fall 2023,F,1.34,2.14,Failed,Suspended
Richard Njeri,S46434428,Male,2024-07-05,Mechanical Engineering,MATH250,Spring 2024,B,1.99,2.06,Completed,Suspended
Alice Achieng,S19756438,Female,2024-06-29,Psychology,ECON150,Fall 2023,C+,3.67,2.87,Failed,Good Standing
Luke Njeri,S92607010,Male,2020-05-01,Psychology,ENGR301,Summer 2024,B,3.95,3.41,Failed,Suspended
Daniel Otieno,S32448177,Male,2023-03-14,Business Administration,CS101,Fall 2023,C,1.34,2.38,Failed,Suspended
Joseph Achieng,S86750573,Male,2024-01-04,Education,ENGR301,Spring 2024,A,1.61,2.0,Withdrawn,Good Standing
David Kariuki,S17259382,Male,2024-05-09,Computer Science,BIO150,Fall 2023,B+,2.48,2.24,Failed,Good Standing
Sarah Kariuki,S25308175,Female,2023-11-16,Nursing,PSY201,Spring 2024,C,2.88,2.56,Failed,Suspended
Sarah Nyambura,S99475193,Female,2024-11-24,Law,CS101,Fall 2024,B,2.91,2.74,Completed,Probation
John Odhiambo,S34900663,Male,2020-10-29,Business Administration,CS101,Fall 2023,F,1.31,2.03,Completed,Probation
David Mwangi,S28943542,Male,2024-12-04,Business Administration,PSY201,Summer 2024,B+,3.78,2.9,Withdrawn,Good Standing
John Kariuki,S21854603,Male,2021-05-27,Computer Science,LAW102,Fall 2024,B+,1.42,2.16,Completed,Good Standing
Wangari Kariuki,S36003323,Female,2019-01-09,Business Administration,BIO150,Fall 2023,A,1.99,2.08,Completed,Suspended
Alice Nyambura,S36649069,Female,2024-04-13,Business Administration,CS101,Summer 2024,A,2.24,2.16,Failed,Probation
John Nyambura,S30929177,Male,2022-05-24,Psychology,LAW102,Fall 2023,B,2.47,2.32,Failed,Probation
Joseph Mwangi,S64253938,Male,2023-07-01,Nursing,LAW102,Spring 2024,B,1.39,1.85,Failed,Good Standing
Grace Njeri,S39105970,Female,2022-10-17,Law,ENGR301,Fall 2024,B+,3.93,2.89,Completed,Good Standing
Luke Achieng,S45996080,Male,2019-07-30,Nursing,PSY201,Fall 2024,A,3.99,3.44,Failed,Suspended
Elizabeth Wambui,S85738523,Female,2019-02-15,Law,PSY201,Summer 2024,D+,1.16,2.3,Completed,Suspended
Peter Odhiambo,S65730417,Male,2023-06-24,Business Administration,CS101,Fall 2024,C+,3.05,2.67,Completed,Good Standing
Grace Wambui,S81440315,Female,2022-08-03,Nursing,LAW102,Fall 2024,D,1.57,2.12,Withdrawn,Suspended
Grace Odhiambo,S11078759,Female,2024-11-09,Education,MATH250,Spring 2024,B+,1.54,1.83,Failed,Suspended
Elizabeth Kariuki,S51004889,Female,2019-07-20,Computer Science,LAW102,Fall 2023,C+,3.13,2.48,Completed,Good Standing
Richard Achieng,S85267014,Male,2023-05-03,Mechanical Engineering,ENGR301,Fall 2023,B,1.39,1.94,Completed,Good Standing
Esther Achieng,S88558855,Female,2018-12-17,Psychology,PSY201,Spring 2024,D+,2.27,2.1,Withdrawn,Probation
Daniel Wambui,S14021750,Male,2021-07-28,Law,CS101,Fall 2024,D,3.51,2.8,Failed,Probation
Wangari Wambui,S52596432,Female,2020-12-19,Education,LAW102,Summer 2024,A,1.88,2.34,Withdrawn,Good Standing
Daniel Karanja,S19912245,Male,2024-09-30,Psychology,ECON150,Summer 2024,D+,3.52,2.93,Completed,Good Standing
Wangari Otieno,S69709709,Female,2022-12-17,Education,CS101,Fall 2023,B,2.23,2.58,Withdrawn,Suspended
Emily Nyambura,S51276131,Female,2022-06-08,Psychology,ECON150,Fall 2024,D,3.57,3.08,Withdrawn,Probation
Wangari Kariuki,S53098563,Female,2022-03-30,Mechanical Engineering,MATH250,Fall 2024,B+,2.51,2.79,Completed,Probation
Peter Odhiambo,S92623788,Male,2024-01-08,Psychology,ECON150,Fall 2024,B,2.26,2.52,Failed,Probation
Michael Kariuki,S40361455,Male,2019-12-14,Computer Science,ECON150,Fall 2024,D+,3.28,2.9,Completed,Suspended
Daniel Otieno,S40714589,Male,2023-10-28,Business Administration,PSY201,Spring 2024,D,1.92,2.41,Completed,Good Standing
Jane Njeri,S53783613,Female,2019-09-27,Nursing,BIO150,Fall 2023,D,3.7,3.06,Withdrawn,Good Standing
Mary Nyambura,S46563208,Female,2020-01-02,Business Administration,LAW102,Summer 2024,B,1.11,2.08,Completed,Probation
Esther Njeri,S67661096,Female,2023-02-27,Education,LAW102,Fall 2024,F,3.99,3.04,Withdrawn,Suspended
Joseph Njeri,S25482816,Male,2021-02-18,Business Administration,CS101,Fall 2024,D,3.84,3.44,Withdrawn,Good Standing
Sarah Mwangi,S71140421,Female,2021-05-19,Psychology,MATH250,Spring 2024,F,1.62,2.53,Completed,Good Standing
Samuel Mwangi,S15838485,Male,2024-08-29,Nursing,PSY201,Summer 2024,B,1.39,1.96,Withdrawn,Good Standing
Elizabeth Karanja,S95357259,Female,2022-11-25,Education,LAW102,Summer 2024,C,3.35,2.66,Completed,Suspended
Wangari Karanja,S12698764,Female,2024-03-28,Business Administration,LAW102,Spring 2024,A,2.94,2.8,Completed,Probation
Wangari Odhiambo,S28932815,Female,2018-10-13,Law,ECON150,Summer 2024,C,3.13,2.96,Withdrawn,Suspended
Joseph Mwangi,S53475135,Male,2018-09-25,Law,MATH250,Fall 2023,F,3.11,3.04,Completed,Suspended
Jane Nyambura,S41588288,Female,2023-05-02,Nursing,MATH250,Fall 2024,D,2.95,3.0,Failed,Probation
Peter Achieng,S96930963,Male,2023-01-10,Law,BIO150,Fall 2024,C,3.47,3.24,Completed,Probation
Joseph Wambui,S75883219,Male,2023-11-06,Mechanical Engineering,BIO150,Fall 2023,D,2.73,2.99,Withdrawn,Good Standing
Lucy Mwangi,S87996700,Female,2018-09-17,Nursing,PSY201,Fall 2023,D+,3.24,3.12,Completed,Good Standing
Elizabeth Njeri,S72467592,Female,2018-12-15,Psychology,ECON150,Summer 2024,B+,2.9,3.01,Failed,Suspended
Jane Karanja,S72853368,Female,2023-11-20,Law,ECON150,Fall 2024,C+,3.78,3.39,Withdrawn,Suspended
Richard Mwangi,S16273554,Male,2022-02-20,Business Administration,PSY201,Summer 2024,A,2.51,2.95,Withdrawn,Suspended
Jane Mwangi,S21406765,Female,2019-03-22,Mechanical Engineering,ENGR301,Spring 2024,B,1.75,2.35,Completed,Good Standing
Esther Odhiambo,S94027615,Female,2018-03-15,Law,LAW102,Summer 2024,D+,3.15,2.75,Completed,Probation
Richard Njeri,S85486747,Male,2023-12-28,Mechanical Engineering,LAW102,Spring 2024,C+,1.07,1.91,Withdrawn,Suspended
David Otieno,S95089814,Male,2019-01-20,Law,ECON150,Fall 2023,D,3.46,2.69,Withdrawn,Probation
Sarah Odhiambo,S75593902,Female,2019-03-13,Law,ECON150,Summer 2024,C+,3.39,3.04,Failed,Suspended
Samuel Odhiambo,S72586803,Male,2020-06-09,Psychology,ECON150,Fall 2024,C,1.31,2.17,Completed,Suspended
Grace Nyambura,S84396879,Female,2018-04-24,Law,MATH250,Summer 2024,C,3.25,2.71,Withdrawn,Good Standing
Michael Wambui,S14300926,Male,2024-07-10,Law,LAW102,Fall 2024,B+,2.96,2.83,Withdrawn,Suspended
Emily Njeri,S95056447,Female,2020-04-26,Business Administration,ENGR301,Summer 2024,D+,1.16,2.0,Failed,Suspended
Lucy Kariuki,S76507014,Female,2023-05-05,Education,ENGR301,Fall 2023,B+,3.28,2.64,Withdrawn,Good Standing
James Kariuki,S12333816,Male,2020-03-13,Law,ENGR301,Spring 2024,C,2.28,2.46,Completed,Suspended
Michael Wambui,S38819868,Male,2020-12-05,Computer Science,LAW102,Summer 2024,C,3.38,2.92,Completed,Suspended
Joseph Karanja,S47327661,Male,2022-12-01,Mechanical Engineering,MATH250,Spring 2024,A,2.56,2.74,Failed,Probation
Mary Odhiambo,S21393632,Female,2021-03-13,Law,BIO150,Summer 2024,B,1.96,2.35,Completed,Good Standing
Daniel Achieng,S95831820,Male,2023-08-23,Law,ECON150,Fall 2023,C,2.91,2.63,Completed,Good Standing
Richard Otieno,S46741734,Male,2020-06-24,Nursing,ENGR301,Summer 2024,F,1.16,1.9,Completed,Suspended
Luke Nyambura,S51951837,Male,2018-12-25,Computer Science,ENGR301,Spring 2024,A,3.61,2.75,Withdrawn,Probation
Jane Karanja,S37151668,Female,2024-06-09,Computer Science,ECON150,Summer 2024,C+,3.26,3.0,Failed,Probation
Esther Wambui,S31230436,Female,2019-01-23,Psychology,CS101,Fall 2024,B+,2.39,2.7,Completed,Good Standing
David Nyambura,S50545181,Male,2019-01-21,Nursing,PSY201,Fall 2024,B,1.33,2.02,Failed,Good Standing
John Nyambura,S45026024,Male,2023-11-27,Computer Science,CS101,Summer 2024,D,3.62,2.82,Completed,Good Standing
Mary Njeri,S49518678,Female,2018-06-09,Education,ENGR301,Spring 2024,B+,2.69,2.75,Completed,Suspended
Daniel Mwangi,S67817005,Male,2019-11-10,Computer Science,ECON150,Fall 2023,F,3.97,3.36,Completed,Good Standing
Peter Njeri,S33197758,Male,2021-10-01,Law,LAW102,Fall 2023,B+,2.26,2.81,Withdrawn,Probation
Lucy Otieno,S95255349,Female,2019-03-23,Business Administration,PSY201,Spring 2024,D+,1.61,2.21,Failed,Probation
Wangari Mwangi,S26050961,Female,2022-02-15,Business Administration,MATH250,Summer 2024,A,2.29,2.25,Withdrawn,Good Standing
Luke Wambui,S35138524,Male,2020-08-14,Nursing,BIO150,Summer 2024,C,3.85,3.05,Failed,Probation
Emily Njeri,S90516005,Female,2018-04-30,Law,ENGR301,Summer 2024,D+,2.1,2.58,Failed,Suspended
Alice Njeri,S76282041,Female,2024-02-12,Business Administration,MATH250,Summer 2024,A,1.13,1.85,Withdrawn,Good Standing
Wangari Njeri,S55142410,Female,2024-03-30,Education,ECON150,Fall 2024,D+,3.82,2.83,Failed,Good Standing
David Wambui,S35491467,Male,2018-12-05,Nursing,CS101,Summer 2024,C+,3.6,3.21,Failed,Suspended
Mary Karanja,S63163093,Female,2021-01-28,Education,ECON150,Fall 2023,A,1.28,2.25,Completed,Good Standing
Grace Njeri,S87045760,Female,2018-06-28,Computer Science,LAW102,Spring 2024,A,3.12,2.69,Completed,Suspended
Mary Karanja,S15493535,Female,2024-04-01,Mechanical Engineering,BIO150,Summer 2024,B+,2.19,2.44,Completed,Suspended
David Achieng,S73136826,Male,2018-01-11,Mechanical Engineering,LAW102,Fall 2024,B,1.38,1.91,Withdrawn,Probation
David Kariuki,S90861609,Male,2023-12-21,Business Administration,ECON150,Fall 2023,F,3.77,2.84,Completed,Probation
Wangari Kariuki,S32968734,Female,2022-08-15,Nursing,BIO150,Fall 2023,C,3.4,3.12,Completed,Probation
Grace Odhiambo,S14721821,Female,2024-09-29,Law,ENGR301,Spring 2024,C+,3.63,3.38,Withdrawn,Good Standing
Alice Otieno,S88171272,Female,2018-10-11,Law,MATH250,Fall 2024,D,2.4,2.89,Completed,Suspended
David Karanja,S73121268,Male,2018-05-16,Business Administration,LAW102,Fall 2024,D,3.03,2.96,Failed,Probation
Richard Wambui,S79222522,Male,2021-10-20,Computer Science,LAW102,Summer 2024,F,3.41,3.19,Withdrawn,Probation
Esther Otieno,S32099086,Female,2021-07-19,Nursing,ENGR301,Fall 2024,D,3.6,3.4,Withdrawn,Probation
Esther Njeri,S33819269,Female,2020-08-16,Business Administration,PSY201,Fall 2024,C,3.2,3.3,Completed,Good Standing
Grace Otieno,S23745834,Female,2024-01-07,Mechanical Engineering,LAW102,Summer 2024,A,2.33,2.81,Withdrawn,Suspended
James Nyambura,S91770416,Male,2021-10-29,Nursing,CS101,Summer 2024,C,2.14,2.48,Completed,Suspended
Michael Otieno,S86380725,Male,2024-12-20,Business Administration,CS101,Fall 2024,A,2.34,2.41,Failed,Good Standing
Jane Nyambura,S28459690,Female,2018-07-02,Mechanical Engineering,ECON150,Fall 2024,A,3.05,2.73,Withdrawn,Suspended
Sarah Kariuki,S58213821,Female,2023-11-11,Psychology,MATH250,Fall 2023,C+,1.82,2.27,Failed,Suspended
Peter Otieno,S75051102,Male,2019-11-10,Mechanical Engineering,PSY201,Spring 2024,C+,1.1,1.69,Completed,Probation
Mary Karanja,S19042010,Female,2019-06-19,Nursing,MATH250,Summer 2024,C+,3.41,2.55,Withdrawn,Probation
Alice Otieno,S71730835,Female,2019-03-14,Mechanical Engineering,ENGR301,Spring 2024,C,3.62,3.08,Completed,Probation
Jane Karanja,S46369971,Female,2022-02-13,Psychology,ENGR301,Summer 2024,C+,1.41,2.25,Completed,Suspended
Jane Achieng,S67918182,Female,2022-03-01,Business Administration,PSY201,Summer 2024,D,2.57,2.41,Withdrawn,Suspended
John Njeri,S71241455,Male,2024-01-26,Computer Science,MATH250,Summer 2024,B,1.0,1.71,Completed,Good Standing
Joseph Achieng,S15712624,Male,2021-04-11,Mechanical Engineering,MATH250,Fall 2023,D,2.85,2.28,Failed,Probation
Luke Achieng,S99563851,Male,2023-12-05,Law,PSY201,Summer 2024,A,2.04,2.16,Withdrawn,Probation
Jane Otieno,S93553206,Female,2023-09-10,Psychology,LAW102,Fall 2023,C,2.07,2.12,Completed,Probation
Elizabeth Kariuki,S14854019,Female,2018-03-02,Business Administration,ENGR301,Summer 2024,D+,3.72,2.92,Completed,Good Standing
Jane Otieno,S79133852,Female,2018-11-22,Business Administration,ECON150,Summer 2024,B+,3.38,3.15,Withdrawn,Probation
James Njeri,S10934999,Male,2019-10-19,Mechanical Engineering,BIO150,Summer 2024,C,3.61,3.38,Withdrawn,Suspended
Richard Achieng,S47312579,Male,2019-02-20,Mechanical Engineering,PSY201,Fall 2024,F,2.92,3.15,Withdrawn,Suspended
Michael Wambui,S86902688,Male,2018-09-16,Computer Science,CS101,Summer 2024,B,2.17,2.66,Withdrawn,Probation
Luke Wambui,S36936141,Male,2021-08-01,Nursing,PSY201,Fall 2023,C,1.47,2.06,Completed,Good Standing
Mary Karanja,S90160803,Female,2020-05-02,Law,BIO150,Fall 2023,B,2.27,2.17,Completed,Probation
Mary Odhiambo,S18856127,Female,2018-07-03,Psychology,PSY201,Fall 2024,F,1.29,1.73,Withdrawn,Probation
Michael Odhiambo,S72080421,Male,2023-09-19,Mechanical Engineering,MATH250,Summer 2024,A,1.89,1.81,Withdrawn,Probation
David Wambui,S12456710,Male,2020-01-24,Mechanical Engineering,PSY201,Fall 2023,B+,1.91,1.86,Withdrawn,Suspended
