Full Name,ID No,Gender,Date of Birth,Age,Ethnicity,Disability Status,Household Income,Primary Language,Grade,County,School Type
Joseph Odhiambo,S18367416,Male,22/09/2007,17,Kamba,Physical,"< KSh 20,000",English,Class 7,Nairobi,Private
John Wambui,S51848549,Male,29/04/2007,17,Kisii,None,"> KSh 100,000",Luhya,Class 5,Nyeri,Special School
David Otieno,S72193782,Male,02/09/2011,13,Kikuyu,Learning,"KSh 50,000 - KSh 100,000",Kikuyu,Class 6,Nyeri,Private
Daniel Achieng,S81145809,Male,23/09/2005,19,Kisii,Physical,"KSh 50,000 - KSh 100,000",Maasai,Class 1,Nairobi,Private
Esther Nyambura,S18363615,Female,06/01/2010,14,Luo,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Form 1,Machakos,Special School
Mary Nyambura,S23576920,Female,01/06/2006,18,Luhya,Physical,"< KSh 20,000",English,Class 7,Kiambu,Public
Jane Njeri,S78732647,Female,10/08/2007,17,Kikuyu,None,"> KSh 100,000",Luo,Class 6,Kisumu,Private
Jane Mwangi,S30151536,Female,26/12/2006,18,Kalenjin,Learning,"KSh 20,000 - KSh 50,000",English,Form 3,Mombasa,Special School
Richard Wambui,S54041314,Male,28/06/2013,11,Maasai,Learning,"> KSh 100,000",Kikuyu,Class 5,Nyeri,Private
David Achieng,S45274669,Male,17/10/2012,12,Luo,Physical,"KSh 20,000 - KSh 50,000",Luo,Form 3,Murang'a,Public
John Nyambura,S62195434,Male,11/04/2005,19,Mijikenda,Physical,"KSh 20,000 - KSh 50,000",Swahili,Class 3,Kisumu,Special School
Mary Karanja,S92464038,Female,19/02/2010,14,Luhya,None,"KSh 20,000 - KSh 50,000",Kiswahili,Class 3,Nyeri,Public
Luke Wambui,S60083256,Male,19/01/2005,19,Kamba,Hearing Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 1,Nakuru,Public
Sarah Nyambura,S34867484,Female,03/07/2008,16,Kikuyu,None,"> KSh 100,000",Luhya,Class 4,Nyeri,Special School
Elizabeth Mwangi,S96206732,Female,22/10/2013,11,Kamba,Hearing Impairment,"> KSh 100,000",English,Form 3,Kiambu,Special School
Elizabeth Achieng,S99477086,Female,01/03/2014,10,Kikuyu,Learning,"KSh 20,000 - KSh 50,000",Maasai,Class 5,Murang'a,Private
Michael Odhiambo,S99966565,Male,19/11/2012,12,Kamba,Physical,"KSh 50,000 - KSh 100,000",Kikuyu,Form 1,Uasin Gishu,Special School
James Karanja,S56173932,Male,08/04/2010,14,Kisii,None,"KSh 20,000 - KSh 50,000",Luo,Form 1,Machakos,Special School
Alice Njeri,S42887679,Female,11/11/2014,10,Coast,Learning,"> KSh 100,000",English,Form 2,Mombasa,Public
Alice Njeri,S77324557,Female,30/07/2012,12,Maasai,Learning,"KSh 20,000 - KSh 50,000",Swahili,Class 8,Eldoret,Special School
John Karanja,S13021198,Male,19/09/2011,13,Meru,Physical,"> KSh 100,000",Luhya,Class 8,Kisumu,Special School
David Njeri,S71136821,Male,28/12/2004,20,Mijikenda,Learning,"KSh 20,000 - KSh 50,000",Maasai,Class 4,Nairobi,Private
Joseph Mwangi,S25742257,Male,04/12/2004,20,Luhya,Learning,"KSh 50,000 - KSh 100,000",English,Form 1,Nyeri,Public
Joseph Wambui,S11942260,Male,26/12/2010,14,Kisii,Physical,"< KSh 20,000",English,Class 5,Nairobi,Special School
Peter Otieno,S18623525,Male,22/03/2006,18,Kalenjin,Hearing Impairment,"> KSh 100,000",Kikuyu,Class 8,Kisumu,Special School
Luke Mwangi,S34878284,Male,24/05/2014,10,Kamba,Visual Impairment,"> KSh 100,000",Luhya,Class 3,Mombasa,Public
Alice Njeri,S40098924,Female,10/04/2013,11,Mijikenda,Visual Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 6,Machakos,Private
David Achieng,S94548443,Male,23/05/2014,10,Meru,Learning,"KSh 20,000 - KSh 50,000",English,Class 8,Uasin Gishu,Private
Sarah Karanja,S30291169,Female,05/10/2007,17,Coast,Physical,"KSh 50,000 - KSh 100,000",Kikuyu,Form 4,Mombasa,Special School
Sarah Wambui,S20309324,Female,25/04/2011,13,Meru,Physical,"KSh 20,000 - KSh 50,000",Luhya,Form 4,Eldoret,Public
Peter Karanja,S18431929,Male,06/05/2006,18,Kisii,Physical,"> KSh 100,000",English,Form 3,Kiambu,Private
Peter Mwangi,S40867226,Male,28/09/2012,12,Luo,None,"< KSh 20,000",English,Class 2,Nyeri,Special School
Grace Wambui,S18470356,Female,25/02/2005,19,Kisii,None,"KSh 50,000 - KSh 100,000",Luhya,Class 3,Machakos,Public
Peter Nyambura,S90037249,Male,19/09/2010,14,Meru,None,"KSh 20,000 - KSh 50,000",Luhya,Class 7,Eldoret,Public
Elizabeth Kariuki,S27317552,Female,18/08/2014,10,Luo,None,"KSh 50,000 - KSh 100,000",Luhya,Form 2,Machakos,Public
Grace Nyambura,S78829908,Female,31/07/2006,18,Luhya,Hearing Impairment,"< KSh 20,000",Kikuyu,Class 8,Nairobi,Public
Emily Achieng,S51815959,Female,15/09/2014,10,Maasai,Hearing Impairment,"KSh 20,000 - KSh 50,000",Swahili,Class 7,Murang'a,Public
Samuel Achieng,S97489171,Male,10/02/2007,17,Kikuyu,Learning,"> KSh 100,000",Swahili,Class 2,Mombasa,Public
David Karanja,S29903410,Male,30/04/2011,13,Meru,Hearing Impairment,"KSh 50,000 - KSh 100,000",Maasai,Class 7,Uasin Gishu,Private
David Odhiambo,S29904657,Male,28/09/2008,16,Kikuyu,Visual Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Form 2,Nakuru,Special School
Jane Odhiambo,S81633947,Female,03/10/2008,16,Luo,Learning,"< KSh 20,000",Kiswahili,Form 4,Eldoret,Private
Sarah Odhiambo,S78858917,Female,24/01/2014,10,Kisii,None,"KSh 20,000 - KSh 50,000",Kiswahili,Class 5,Machakos,Public
Elizabeth Kariuki,S66188592,Female,21/09/2014,10,Mijikenda,Hearing Impairment,"KSh 50,000 - KSh 100,000",Kikuyu,Class 4,Nyeri,Special School
John Karanja,S72700567,Male,07/03/2010,14,Meru,Physical,"> KSh 100,000",English,Class 2,Nairobi,Special School
John Otieno,S15586064,Male,13/05/2006,18,Kamba,Visual Impairment,"KSh 50,000 - KSh 100,000",Maasai,Class 3,Machakos,Public
Jane Wambui,S10879539,Female,25/11/2012,12,Kisii,Physical,"< KSh 20,000",Maasai,Class 4,Nairobi,Private
Alice Karanja,S65804042,Female,21/11/2004,20,Kalenjin,Physical,"KSh 50,000 - KSh 100,000",English,Form 3,Uasin Gishu,Public
Esther Njeri,S51606864,Female,19/10/2007,17,Luhya,Learning,"> KSh 100,000",Luhya,Form 4,Uasin Gishu,Public
James Mwangi,S64824321,Male,22/06/2006,18,Coast,Hearing Impairment,"KSh 20,000 - KSh 50,000",Luo,Class 2,Eldoret,Special School
Elizabeth Wambui,S50799635,Female,31/10/2008,16,Luhya,Physical,"KSh 50,000 - KSh 100,000",Kikuyu,Class 1,Uasin Gishu,Public
Joseph Njeri,S55520456,Male,22/06/2012,12,Kamba,Learning,"> KSh 100,000",Kikuyu,Form 1,Kisumu,Public
Luke Otieno,S85134401,Male,06/03/2007,17,Coast,None,"< KSh 20,000",Luhya,Class 1,Kiambu,Public
David Otieno,S38400259,Male,29/04/2010,14,Mijikenda,Hearing Impairment,"< KSh 20,000",Maasai,Class 5,Nyeri,Special School
Alice Nyambura,S22321422,Female,10/12/2009,15,Kisii,None,"KSh 50,000 - KSh 100,000",Luo,Class 1,Nyeri,Private
Daniel Nyambura,S67851976,Male,21/10/2006,18,Kikuyu,Physical,"KSh 50,000 - KSh 100,000",Kiswahili,Class 6,Murang'a,Public
Esther Mwangi,S45781014,Female,09/01/2014,10,Meru,Hearing Impairment,"> KSh 100,000",Swahili,Class 4,Uasin Gishu,Public
Wangari Nyambura,S49472649,Female,06/09/2006,18,Luo,Learning,"KSh 20,000 - KSh 50,000",Swahili,Class 2,Nyeri,Private
Peter Karanja,S28736804,Male,27/04/2011,13,Maasai,Learning,"KSh 20,000 - KSh 50,000",Kikuyu,Class 4,Nyeri,Public
Sarah Achieng,S98880337,Female,13/09/2010,14,Coast,Physical,"< KSh 20,000",Swahili,Class 2,Murang'a,Private
Wangari Mwangi,S84861187,Female,24/02/2011,13,Luhya,Visual Impairment,"< KSh 20,000",Luo,Class 6,Nyeri,Special School
Grace Kariuki,S10629600,Female,24/10/2008,16,Kamba,Visual Impairment,"< KSh 20,000",Kikuyu,Class 1,Kisumu,Special School
Joseph Achieng,S19820582,Male,17/10/2014,10,Kamba,Visual Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 1,Kiambu,Special School
James Karanja,S28741132,Male,19/04/2013,11,Coast,Physical,"KSh 20,000 - KSh 50,000",Kiswahili,Class 7,Kisumu,Private
Jane Njeri,S89284271,Female,13/02/2011,13,Kikuyu,Learning,"KSh 50,000 - KSh 100,000",Luo,Class 2,Eldoret,Private
James Achieng,S98307942,Male,05/02/2013,11,Coast,None,"< KSh 20,000",English,Class 2,Kisumu,Private
Joseph Mwangi,S89667653,Male,16/01/2013,11,Luo,Learning,"> KSh 100,000",Swahili,Class 4,Uasin Gishu,Private
Lucy Odhiambo,S61106667,Female,10/03/2014,10,Kamba,Visual Impairment,"> KSh 100,000",Maasai,Form 1,Murang'a,Private
Jane Nyambura,S77439569,Female,06/12/2013,11,Mijikenda,None,"< KSh 20,000",Kiswahili,Class 6,Nairobi,Public
Jane Wambui,S22702394,Female,07/04/2011,13,Kisii,Physical,"> KSh 100,000",Kiswahili,Class 4,Uasin Gishu,Public
Daniel Mwangi,S32486202,Male,14/04/2010,14,Luo,Hearing Impairment,"< KSh 20,000",English,Form 2,Machakos,Public
John Mwangi,S91434822,Male,26/04/2013,11,Coast,None,"< KSh 20,000",Maasai,Form 3,Kiambu,Public
James Achieng,S92508013,Male,29/03/2005,19,Kisii,Hearing Impairment,"KSh 20,000 - KSh 50,000",Maasai,Class 7,Nakuru,Private
Peter Kariuki,S62896684,Male,01/12/2004,20,Kalenjin,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 3,Nyeri,Special School
Wangari Achieng,S96628592,Female,14/11/2005,19,Coast,Visual Impairment,"KSh 20,000 - KSh 50,000",Luo,Form 4,Kisumu,Private
Luke Achieng,S57581482,Male,07/12/2008,16,Kisii,Hearing Impairment,"KSh 20,000 - KSh 50,000",Maasai,Class 3,Murang'a,Private
Wangari Karanja,S80120870,Female,16/07/2014,10,Kikuyu,Learning,"KSh 20,000 - KSh 50,000",Kiswahili,Class 3,Uasin Gishu,Public
Alice Njeri,S23596832,Female,30/12/2013,11,Coast,Learning,"KSh 20,000 - KSh 50,000",Luo,Class 5,Nakuru,Special School
Elizabeth Wambui,S44833320,Female,05/09/2011,13,Kalenjin,Learning,"KSh 50,000 - KSh 100,000",Maasai,Class 7,Nyeri,Private
Daniel Njeri,S94780898,Male,10/03/2009,15,Mijikenda,Learning,"< KSh 20,000",Swahili,Class 8,Nakuru,Special School
James Nyambura,S92238130,Male,23/07/2008,16,Luo,Physical,"KSh 20,000 - KSh 50,000",Luhya,Class 1,Kiambu,Public
Luke Karanja,S93637184,Male,02/11/2007,17,Maasai,Visual Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 1,Machakos,Private
Lucy Odhiambo,S48407502,Female,23/08/2010,14,Maasai,None,"KSh 20,000 - KSh 50,000",Luo,Form 2,Murang'a,Special School
Richard Wambui,S66858049,Male,11/09/2008,16,Maasai,Hearing Impairment,"KSh 50,000 - KSh 100,000",Kiswahili,Class 7,Machakos,Special School
Mary Karanja,S89654432,Female,09/09/2014,10,Mijikenda,Physical,"< KSh 20,000",Swahili,Class 5,Nyeri,Public
Peter Njeri,S69801718,Male,06/12/2008,16,Kikuyu,None,"KSh 20,000 - KSh 50,000",Kikuyu,Class 6,Nairobi,Public
John Kariuki,S62402807,Male,04/10/2014,10,Kisii,Physical,"KSh 50,000 - KSh 100,000",English,Class 1,Uasin Gishu,Special School
Mary Achieng,S81085103,Female,17/08/2013,11,Mijikenda,Physical,"KSh 20,000 - KSh 50,000",Kikuyu,Class 7,Kisumu,Special School
Samuel Kariuki,S83104913,Male,15/05/2011,13,Kisii,Learning,"KSh 20,000 - KSh 50,000",Luo,Class 8,Kisumu,Private
Emily Kariuki,S71645397,Female,05/11/2010,14,Kisii,Hearing Impairment,"< KSh 20,000",Luhya,Class 2,Kisumu,Private
Daniel Kariuki,S26630219,Male,18/11/2012,12,Kalenjin,Visual Impairment,"KSh 20,000 - KSh 50,000",Maasai,Class 8,Nairobi,Special School
Alice Otieno,S47504246,Female,11/03/2012,12,Coast,Physical,"< KSh 20,000",Luhya,Form 1,Kisumu,Private
Luke Wambui,S50686722,Male,01/05/2009,15,Kisii,Physical,"KSh 50,000 - KSh 100,000",Maasai,Form 4,Nakuru,Public
Wangari Karanja,S58412245,Female,29/10/2012,12,Meru,Physical,"KSh 20,000 - KSh 50,000",Luhya,Class 5,Eldoret,Special School
Joseph Kariuki,S56185689,Male,07/12/2011,13,Meru,Physical,"> KSh 100,000",English,Class 2,Mombasa,Public
Luke Njeri,S79060164,Male,27/05/2013,11,Mijikenda,None,"KSh 50,000 - KSh 100,000",Maasai,Class 1,Kiambu,Public
Peter Wambui,S41557758,Male,20/03/2013,11,Meru,Physical,"< KSh 20,000",Kikuyu,Class 2,Kiambu,Public
Wangari Odhiambo,S21341437,Female,21/08/2010,14,Mijikenda,Learning,"> KSh 100,000",Swahili,Form 3,Nakuru,Special School
Wangari Karanja,S79263683,Female,06/10/2012,12,Kikuyu,Hearing Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 2,Kisumu,Public
Emily Kariuki,S12577012,Female,17/08/2011,13,Kamba,Physical,"< KSh 20,000",Kikuyu,Class 3,Kiambu,Private
Peter Wambui,S11563204,Male,29/07/2005,19,Mijikenda,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Class 2,Eldoret,Public
Joseph Achieng,S64036558,Male,18/05/2006,18,Meru,Learning,"< KSh 20,000",Maasai,Form 2,Kiambu,Private
Michael Njeri,S38481046,Male,15/09/2009,15,Kamba,Learning,"KSh 20,000 - KSh 50,000",Kikuyu,Form 1,Murang'a,Public
Daniel Nyambura,S44278504,Male,11/09/2011,13,Luo,Physical,"< KSh 20,000",Maasai,Class 1,Eldoret,Public
Luke Achieng,S97520842,Male,03/04/2012,12,Luhya,Visual Impairment,"> KSh 100,000",Luo,Class 3,Mombasa,Special School
Mary Nyambura,S45737158,Female,22/03/2009,15,Luo,Hearing Impairment,"> KSh 100,000",Maasai,Form 3,Eldoret,Private
Grace Nyambura,S51845422,Female,06/01/2014,10,Coast,Hearing Impairment,"KSh 20,000 - KSh 50,000",Luhya,Form 3,Eldoret,Private
Alice Nyambura,S92952958,Female,16/08/2008,16,Kalenjin,Learning,"> KSh 100,000",English,Class 6,Eldoret,Special School
Samuel Achieng,S37018137,Male,27/06/2010,14,Kisii,Learning,"< KSh 20,000",Luhya,Class 1,Kiambu,Special School
Peter Otieno,S75414846,Male,04/01/2010,14,Luo,None,"< KSh 20,000",English,Class 5,Machakos,Special School
Michael Odhiambo,S69440527,Male,27/02/2005,19,Luo,None,"< KSh 20,000",English,Class 5,Uasin Gishu,Private
Alice Wambui,S13977162,Female,30/09/2005,19,Kisii,Learning,"< KSh 20,000",Luhya,Class 6,Kisumu,Public
Alice Nyambura,S27450820,Female,11/04/2006,18,Kikuyu,None,"> KSh 100,000",Maasai,Class 8,Machakos,Special School
Richard Odhiambo,S53686375,Male,14/03/2005,19,Meru,Learning,"> KSh 100,000",Swahili,Class 8,Uasin Gishu,Special School
Jane Kariuki,S76887036,Female,26/12/2013,11,Luhya,None,"> KSh 100,000",Maasai,Class 5,Machakos,Special School
Jane Odhiambo,S44812837,Female,04/04/2006,18,Meru,Hearing Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 1,Uasin Gishu,Special School
Luke Wambui,S10939501,Male,18/02/2005,19,Kamba,Hearing Impairment,"< KSh 20,000",Luhya,Form 4,Kisumu,Private
Samuel Otieno,S87488352,Male,07/01/2013,11,Mijikenda,None,"< KSh 20,000",Maasai,Class 5,Nyeri,Special School
Luke Njeri,S76540658,Male,30/11/2011,13,Kalenjin,None,"KSh 20,000 - KSh 50,000",Maasai,Class 8,Mombasa,Special School
Jane Otieno,S96543924,Female,26/11/2005,19,Luo,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Form 2,Machakos,Special School
Michael Wambui,S67515700,Male,28/06/2009,15,Meru,None,"< KSh 20,000",Kikuyu,Form 1,Mombasa,Private
Joseph Achieng,S89706644,Male,12/01/2007,17,Kalenjin,Hearing Impairment,"KSh 50,000 - KSh 100,000",Maasai,Class 3,Nairobi,Private
Lucy Mwangi,S88932627,Female,11/02/2008,16,Maasai,Visual Impairment,"> KSh 100,000",Luhya,Form 2,Nakuru,Special School
Michael Odhiambo,S19104068,Male,10/09/2012,12,Luo,None,"< KSh 20,000",Kikuyu,Form 2,Kiambu,Private
Alice Odhiambo,S31831863,Female,03/01/2013,11,Kisii,Hearing Impairment,"> KSh 100,000",Kikuyu,Form 1,Kisumu,Special School
Joseph Otieno,S70258191,Male,05/12/2013,11,Kikuyu,Learning,"< KSh 20,000",Swahili,Class 6,Nairobi,Public
John Njeri,S59373587,Male,03/11/2011,13,Kikuyu,Learning,"KSh 20,000 - KSh 50,000",Kiswahili,Class 2,Mombasa,Private
James Njeri,S45202777,Male,23/09/2009,15,Kalenjin,Learning,"KSh 50,000 - KSh 100,000",Maasai,Form 2,Nakuru,Public
Mary Achieng,S42809973,Female,20/12/2007,17,Luhya,None,"KSh 50,000 - KSh 100,000",Swahili,Class 6,Murang'a,Private
Peter Kariuki,S73281202,Male,13/03/2007,17,Maasai,Physical,"< KSh 20,000",English,Class 2,Kiambu,Private
Lucy Mwangi,S16775875,Female,13/04/2008,16,Luhya,Visual Impairment,"KSh 50,000 - KSh 100,000",Luhya,Class 4,Kisumu,Special School
Esther Odhiambo,S83047787,Female,11/01/2010,14,Luhya,Hearing Impairment,"> KSh 100,000",Luhya,Class 2,Machakos,Private
Michael Otieno,S61401655,Male,02/03/2008,16,Maasai,Visual Impairment,"KSh 20,000 - KSh 50,000",Luo,Class 3,Kisumu,Public
David Odhiambo,S72353751,Male,15/10/2008,16,Maasai,Learning,"KSh 50,000 - KSh 100,000",Maasai,Class 1,Nairobi,Public
Esther Otieno,S27884908,Female,17/06/2011,13,Kalenjin,None,"> KSh 100,000",Kiswahili,Form 1,Kisumu,Private
Elizabeth Achieng,S33045971,Female,28/11/2012,12,Luo,Physical,"> KSh 100,000",English,Class 4,Machakos,Public
David Karanja,S39886855,Male,22/05/2006,18,Kikuyu,Hearing Impairment,"< KSh 20,000",Luo,Class 4,Eldoret,Special School
Richard Nyambura,S76812816,Male,30/09/2009,15,Meru,Learning,"> KSh 100,000",Luhya,Form 4,Eldoret,Private
David Wambui,S81980561,Male,07/01/2006,18,Kalenjin,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Class 8,Murang'a,Special School
Lucy Achieng,S26843084,Female,23/01/2005,19,Kamba,Physical,"KSh 50,000 - KSh 100,000",Kiswahili,Class 1,Mombasa,Public
John Nyambura,S67720203,Male,09/09/2008,16,Kamba,Physical,"KSh 50,000 - KSh 100,000",Kiswahili,Class 6,Nakuru,Public
David Wambui,S41855170,Male,06/06/2008,16,Kalenjin,Visual Impairment,"> KSh 100,000",Kiswahili,Form 1,Kisumu,Special School
Luke Achieng,S52061589,Male,08/01/2007,17,Luhya,Hearing Impairment,"KSh 50,000 - KSh 100,000",Kikuyu,Class 3,Nairobi,Public
James Kariuki,S71160831,Male,21/11/2009,15,Maasai,Visual Impairment,"KSh 20,000 - KSh 50,000",Kiswahili,Class 6,Kisumu,Special School
Esther Mwangi,S43100371,Female,14/06/2013,11,Kalenjin,Physical,"KSh 20,000 - KSh 50,000",English,Class 3,Eldoret,Public
Lucy Odhiambo,S81966314,Female,20/04/2012,12,Kamba,None,"> KSh 100,000",Luo,Form 3,Kisumu,Public
Samuel Otieno,S43979158,Male,23/01/2012,12,Luo,Learning,"> KSh 100,000",Kiswahili,Class 2,Nairobi,Public
Daniel Njeri,S95238327,Male,06/01/2012,12,Coast,Visual Impairment,"> KSh 100,000",English,Class 3,Kisumu,Public
Daniel Mwangi,S84345092,Male,26/06/2013,11,Kalenjin,Visual Impairment,"> KSh 100,000",English,Form 2,Murang'a,Special School
Lucy Odhiambo,S87612462,Female,15/05/2005,19,Coast,Hearing Impairment,"< KSh 20,000",Kikuyu,Form 3,Uasin Gishu,Special School
Peter Odhiambo,S78081060,Male,29/03/2008,16,Kikuyu,Learning,"> KSh 100,000",Maasai,Class 3,Kiambu,Special School
Alice Mwangi,S37740949,Female,17/05/2014,10,Kikuyu,Hearing Impairment,"< KSh 20,000",Swahili,Class 4,Nairobi,Special School
Jane Karanja,S98351608,Female,12/01/2005,19,Coast,Hearing Impairment,"KSh 20,000 - KSh 50,000",Kikuyu,Form 3,Machakos,Special School
Esther Achieng,S64547511,Female,15/03/2013,11,Kisii,None,"< KSh 20,000",Swahili,Form 4,Nakuru,Special School
Peter Odhiambo,S97432427,Male,24/12/2004,20,Kamba,None,"KSh 50,000 - KSh 100,000",Luo,Class 8,Nairobi,Private
Mary Achieng,S41909047,Female,11/12/2011,13,Kisii,Hearing Impairment,"> KSh 100,000",Maasai,Form 4,Nairobi,Private
Peter Odhiambo,S79310934,Male,08/01/2011,13,Coast,Physical,"< KSh 20,000",Maasai,Class 1,Nairobi,Private
Sarah Nyambura,S65597425,Female,11/01/2013,11,Kikuyu,Hearing Impairment,"< KSh 20,000",Kikuyu,Class 6,Nakuru,Private
Michael Mwangi,S89806712,Male,22/01/2014,10,Mijikenda,None,"KSh 20,000 - KSh 50,000",Kikuyu,Class 8,Nyeri,Public
Michael Njeri,S81938529,Male,15/04/2011,13,Meru,None,"KSh 50,000 - KSh 100,000",Luo,Form 3,Nakuru,Public
Alice Achieng,S49601559,Female,21/08/2010,14,Kamba,None,"KSh 20,000 - KSh 50,000",Kiswahili,Form 3,Uasin Gishu,Public
Elizabeth Odhiambo,S75395793,Female,26/07/2009,15,Kikuyu,Hearing Impairment,"< KSh 20,000",Kikuyu,Form 4,Mombasa,Public
Esther Odhiambo,S14667470,Female,28/11/2010,14,Mijikenda,Visual Impairment,"KSh 50,000 - KSh 100,000",Swahili,Form 3,Kiambu,Special School
Grace Njeri,S51325121,Female,30/07/2013,11,Kamba,Physical,"KSh 20,000 - KSh 50,000",Luhya,Class 3,Uasin Gishu,Private
